,train_lang,test_lang,score
0,"['est', 'fin']",fin,0.993255901087
1,"['est', 'kpv']",kpv,0.975
2,"['est', 'myv']",myv,0.913333333333
3,"['est', 'sme']",sme,0.998392282958
4,['est'],est,0.99423815621
5,['est'],fin,0.7770184003
6,['est'],kpv,0.494623657196
7,['est'],myv,0.487885828088
8,['est'],sme,0.50305466236
9,"['fin', 'est']",est,0.992314261315
10,"['fin', 'kpv']",kpv,0.923076924605
11,"['fin', 'myv']",myv,0.927392739274
12,"['fin', 'sme']",sme,1.0
13,['fin'],est,0.922345449496
14,['fin'],fin,0.994002998501
15,['fin'],kpv,0.782258064516
16,['fin'],myv,0.503816793893
17,['fin'],sme,0.946141479138
18,"['kpv', 'est']",est,0.993802094465
19,"['kpv', 'fin']",fin,0.992859827133
20,"['kpv', 'sme']",sme,0.9952
21,['kpv'],est,0.699467914614
22,['kpv'],fin,0.718325197151
23,['kpv'],kpv,0.921052631579
24,['kpv'],myv,0.554928642554
25,['kpv'],sme,0.820257234765
26,"['myv', 'est']",est,0.991006423983
27,"['myv', 'fin']",fin,0.994754589734
28,"['myv', 'kpv']",kpv,0.9
29,"['myv', 'sme']",sme,0.987158908507
30,['myv'],est,0.473470521615
31,['myv'],fin,0.491250469398
32,['myv'],kpv,0.741935484512
33,['myv'],myv,0.93311036889
34,['myv'],sme,0.717524115756
35,"['sme', 'est']",est,0.993388782256
36,"['sme', 'fin']",fin,0.993973634652
37,"['sme', 'kpv']",kpv,0.875
38,"['sme', 'myv']",myv,0.914473684211
39,['sme'],est,0.93469666859
40,['sme'],fin,0.929628238828
41,['sme'],kpv,0.892473119561
42,['sme'],myv,0.519415864592
43,['sme'],sme,0.991974317817
